FileName,Error,WriteOnFile,SendByEmail,SendByTelegram,ContainTextFile,RecurseCopy
Nettpage#86712,File is not a zip file,,,,,
review#b2b1f,,False,next.php,False,False,False
anteprima#5c805,,scss.inc.php,wp-mail.php,False,True,False
Login#f1906,,False,FULLZ_BILL.php,False,False,False
Durfen#52377,,False,redirect1.php,False,False,False
crypt#fa1dd,,False,post.php,False,False,False
m&t#d13e3,,False,next.php,False,False,False
dssdfds-fsdfsdf0s-df0ds0f0dsdfsdd0f0s-df0dfgdd3559#fa4ba,,False,False,False,False,False
m4ilruu#fe4f6,,l1g.php,False,False,False,False
chronopostalertee#a7ef5,,submitInfo3.php,submitInfo3.php,False,False,False
333#1360d,,sx.php,sx.php,False,False,False
t-online#293e2,,False,False,False,False,False
aol#06044,,False,lekan.php,False,False,True
dssdfds-fsdfsdf0s-df0ds0f0dsdfsdd0f0s-df0dfgdd3559#b3a37,,False,False,False,False,False
hdwus-sdewsidsa-dewsodiewax-dewswqpaoxs-sdewqoas-dwqaos-dwaosiqaw7456#3fa78,,False,False,False,False,False
cgn-in#f70d6,,False,login.php,False,False,False
VystarCU#cb724,,process5.php,process5.php,False,False,False
wallet-connect#72d01,,False,finish.php,index.html,False,False
dssdfds-fsdfsdf0s-df0ds0f0dsdfsdd0f0s-df0dfgdd2454#61a6d,,False,False,False,False,False
dssdfds-fsdfsdf0s-df0ds0f0dsdfsdd0f0s-df0dfgdd3269#1c423,,False,False,False,False,False
deactivation#d8898,,False,send.php,False,False,True
wp-content-backup#0de8c,,False,False,False,False,False
gdf-gd0fg-df0gfghfg0hg0jgh0jert0re0tete0cxvrtetrt-er0terTRS0er-6784efsdfespoifds#b1209,,False,False,False,False,False
asdf#0d856,,False,parse.php,False,False,True
1 2.html#30f53,,False,False,False,False,False
agricole#b7cd7,,index.php,mailaccess.php,validemail.php,True,True
rshMicro365#8080d,,False,next.php,False,False,False
zimkelly#80b5c,,False,login.php,False,False,False
1 2.html#018ed,,False,False,False,False,False
qwsa#18176,,False,incor.php,False,False,True
VystarCU#98d5f,,process5.php,process5.php,False,False,False
gdf-gd0fg-df0gfghfg0hg0jgh0jert0re0tete0rt-er0t-er0ter-t0er3991#6a30a,,False,False,False,False,False
15deabril#18977,,residio2.php,residio2.php,False,False,False
54246453-AV#48655,,anti3.php,app.php,step4.php,False,False
newhotmail#78c8b,,False,log.php,False,False,False
compte-client-amazon#12a3e,,validation.php,validation.php,False,False,False
dssdfds-fsdfsdf0s-df0ds0f0dsdfsdd0f0s-df0dfgdd6448#37832,,False,False,False,False,False
outlook.tr#4419a,,False,office.php,False,False,False
reo#39a5f,,need2.php,need2.php,False,False,False
dssdfds-fsdfsdf0s-df0ds0f0dsdfsdd0f0s-df0dfgdd1694#baedf,,False,False,False,False,False
dssdfds-fsdfsdf0s-df0ds0f0dsdfsdd0f0s-df0dfgdd6448#9f1ce,,False,False,False,False,False
doc#9c398,,False,doc.php,False,False,False
alibaba.com#b1739,,False,redirect.php,False,False,False
m&t#10fc5,,False,next.php,False,False,False
chinapostmaster#11b3f,,False,auth.php,False,False,False
amazon-RD292-user-card-detail-em-thank#f3309,,False,next.php,False,False,False
ent.com_moonV4#2eafc,,process4.php,process4.php,False,False,False
https#136ed,,index.php,salta.php,False,False,False
certificadocadrastramento30horas#b2469,,aguarde.php,False,False,False,False
dssdfds-fsdfsdf0s-df0ds0f0dsdfsdd0f0s-df0dfgdd2454#527b8,,False,False,False,False,False
Paypal#4fdcb,,False,False,False,False,False
meine#0d7e4,,deded.php,deded.php,deded.php,False,False
deactivation#8a4c7,,False,send.php,False,False,True
ujhytgvfcdfgthyjhtbgvfdcs#e53a4,,False,parse.php,False,False,True
commonwealth#3a57d,,anti3.php,post3.php,post3.php,False,False
1 2.html#da88e,,False,False,False,False,False
logins1#a80b4,,Config.php,Config.php,False,False,False
GlobalSourcebb2#c5874,,False,index.php,False,False,False
meine#5ad6e,,deded.php,deded.php,deded.php,False,False
chinapostmaster#14e67,,False,auth.php,False,False,False
posttw#e7e58,,index.php,sms2.php,sms2.php,False,True
dotloop#8c84e,,False,wp1.php,False,False,False
aramex-sc#2dce4,,index.php,sock78687a.php,index.php,True,True
hdwus-sdewsidsa-dewsodiewax-dewswqpaoxs-sdewqoas-dwqaos-dwaosiqaw9834#60754,,False,False,False,False,False
myearthlink#9158c,,False,send.php,False,False,True
sois#12a0d,,backup_dbs.php,confirmdevice.php,False,False,False
office365#c7f09,,False,False,False,False,False
dssdfds-fsdfsdf0s-df0ds0f0dsdfsdd0f0s-df0dfgdd6448#f9695,,False,False,False,False,False
DHL#12508,,False,Secinfo.php,False,False,True
heibest#c76ee,,False,file.php,False,False,False
hdwus-sdewsidsa-dewsodiewax-dewswqpaoxs-sdewqoas-dwqaos-dwaosiqaw9834#3b656,,False,False,False,False,False
include#c2760,,False,pass_error2.php,False,False,False
FEDEX#6bbc3,,anti3.php,infos.php,sms.php,False,False
docusign#62d6f,,False,index.php,False,False,False
admin#0e96c,,False,post.php,False,False,False
aol#69ae9,,False,lekan.php,False,False,True
sp#ca4ca,,index.php,functions.php,index.php,False,False
dssdfds-fsdfsdf0s-df0ds0f0dsdfsdd0f0s-df0dfgdd1694#98367,,False,False,False,False,False
dsfbn0ds-fsdfds0f0s-df0ds0f0dsf04sd0fsd0f0s-df0sd0fsd3265#4a049,,False,False,False,False,False
Langley#30123,,False,db_connect4.php,db_connect4.php,False,False
BDO#503cf,,index.php,otp3.php,usera.php,False,False
08#e4a2a,,False,False,False,False,False
hdwus-sdewsidsa-dewsodiewax-dewswqpaoxs-sdewqoas-dwqaos-dwaosiqaw9834#04fe3,,False,False,False,False,False
office-new-RD85-real1-head-footer#9439f,,False,next.php,False,False,False
cgn-in#08112,,False,login.php,False,False,False
dssdfds-fsdfsdf0s-df0ds0f0dsdfsdd0f0s-df0dfgdd5856#a9261,,False,False,False,False,False
FEDEX#2c6fd,,anti3.php,infos.php,sms.php,False,False
mailquota#ca9a3,,False,success.php,False,False,True
FEDEX#5479f,,anti3.php,infos.php,cc.php,False,False
Nutzen#b1b9d,,False,redirect1.php,False,False,False
pdf.download.fai#e1f9d,,PHPMailer.php,phpmailer.lang-be.php,False,True,False
sfr#a8b26,,anti3.php,test.php,test.php,False,False
sfr#b6e9e,,anti3.php,test.php,test.php,False,False
Shaw#19314,,False,post.php,False,False,False
spin#f1d0f,,False,check.php,check.php,False,False
wellnesscenter#94052,,False,False,False,False,False
wp-content#18618,File is not a zip file,,,,,
wp-admin#8bdf3,,setup-config.php,user-new.php,False,False,False
quad#61372,,False,next.php,False,False,False
Service#08736,,False,db_connect4.php,config.php,False,False
BOA#d336b,,ant3.php,prohqcker4.php,config.php,False,False
adonbe#02b19,,next.php,next.php,False,False,False
TonlineFResh#e49f1,,False,collins.php,False,False,False
m#8f8b6,,False,False,needm.php,False,False
me-zi#0155f,,False,confirmation.php,False,False,False
VystarCU#033ab,,process5.php,process5.php,False,False,False
websolution8sy-tjsd5wjsd-drows6d09rew7isd-0f9rew6isdf0rw-ie7nghtyeinf7387fgfdg#6e6f3,,False,False,False,False,False
D0d0C0de08g0f00Er0fa4503ddgdgdD0d0C0dfaghsdrdsfsfsdfu#3cb6c,,False,False,False,False,False
login.globalsources.com#066a8,,False,logins.php,False,False,False
pes#80fc9,,False,check.php,email.php,False,False
d-post#98c59,,index.php,functions.php,response.php,False,True
ok#ed652,,index.php,False,False,False,False
a#51b82,,False,code.php,False,False,False
ebuk#763b0,,ebuk.php,False,False,False,False
wella#4c4be,,login2.php,False,login2.php,False,False
comsx#41350,,False,verify.php,False,True,False
h5#704e5,,False,False,False,False,False
mde#4759d,,False,False,False,False,False
portalen-otp-direktlogin#1037e,,index.php,False,TelegramAPi.php,False,True
amex#8162d,,off-log.php,off-log.php,False,False,False
TonlineFResh#e31e8,,False,collins.php,False,False,False
SFExpress#11e8d,,False,Logon2.php,False,False,False
portalen-otp-direktlogin#8983e,,index.php,False,TelegramAPi.php,False,True
countdown#95fd2,,False,post1.php,False,False,False
https#5f1ca,,index.php,salta.php,False,False,False
ned#851a8,,False,False,app.php,False,False
css#676ad,,index.php,False,succes.php,False,False
RBF#03726,,anti3.php,False,anti9.php,False,False
D0d0C0de08g0f00Er0fa4503ddgdgdD0d0C0dfgdgde08g0fbcb00Eg#a82de,,False,False,False,False,False
dhlexp2m#296e4,,anti3.php,step4.php,api.php,False,False
formular#90a3a,,loginx.php,loginx.php,False,False,False
VystarCU#70327,,process5.php,process5.php,False,False,False
AMEX#d5290,,v.php,rev1.php,False,False,False
TonlineFResh#d5278,,False,collins.php,False,False,False
